Lake,Rainfall_avg,MeanT_avg,AirPressure_avg,AverageWind_W,AverageWind_A,compound_W,WindSpeed_Avg,Lat,Lon,PW,SDD_Mean,SDD_SD,Chlorophyll,NDVI,Depth,PD,PWLG,DepthLG,PDLG,DepthLG10,Count_W,Dur_W,Mean_W,Return_W,LHW_W,RLHW_W,Count_A,Dur_A,Mean_A,Return_A,LHW_A,RLHW_A,Count_D,Dur_D,Mean_D,Return_D,LHW_D,RLHW_D
NA_1685,1.228481812,-1.961401631,1015.353904,-0.068723981,0.085509716,0.012863564,3.167758366,54.083375,-101.58975,106.4938991,0.05125,0.135756,50.92908096,0.376797438,12,8.874491592,2.031383816,1.113943352,1.823597055,1.079181246,5.782608696,30.7826087,3.616683129,75.78961666,16.34559983,8.087528575,3.260869565,14.2173913,8.791163175,132.2833333,11.45919554,6.973131493,2.521739131,16.5652174,-5.174480046,-56.49371664,4.88640429,1.114397082
AS_1699,0.930926663,13.54551675,850.8927509,0.006524419,-0.394642721,0.025647992,2.633653164,38.67410585,43.57927216,106.7929508,4.90628,1.25949,5.433111419,0.177199163,97.63867,1.093756713,2.032590361,1.994047208,1.019329108,1.989621855,5.695652174,31.43478261,2.707585087,68.14047127,15.14825257,4.712201764,4.652173913,27.2173913,4.729312406,97.94962121,15.14135321,4.767633106,1.043478261,4.21739131,-2.021727319,-29.80914994,0.00689936,-0.055431342
AS_818,0.928727782,24.44964856,1009.136008,0.115082653,-0.553093082,-0.0901549,2.377569301,29.44976442,52.80657092,107.3054805,0.0055827,0.032127,1.325600118,0.156875285,16.234375,6.609769732,2.034650433,1.236395538,1.645630682,1.210435574,5.173913043,31.95652174,3.110620701,153.4848039,16.28527282,4.204458482,4.695652174,28.69565217,3.658786087,103.8313492,14.35923718,3.29262489,0.478260869,3.26086957,-0.548165386,49.6534547,1.92603564,0.911833592
NA_1587,2.535901916,0.241606882,1013.542632,-0.427318717,-0.222005405,-0.334728107,3.045402355,49.454143,-68.422115,107.4025105,6.6276498,4.7084398,5.359646466,0.514813593,26,4.130865788,2.03503934,1.431363764,1.421748539,1.414973348,5.652173913,30.2173913,3.2370707,81.7861052,15.7398535,7.455488318,3.086956522,13.2173913,7.312731416,166.6485261,10.60508484,6.320210999,2.565217391,17,-4.075660716,-84.8624209,5.13476866,1.135277319
NA_1589,2.272032972,-1.188307747,1014.867349,-0.16210572,0.0013943,-0.238251272,3.324239031,49.77623306,-77.20947243,108.0796948,1.22026,1.32069,9.228720812,0.386702678,5,21.61593896,2.037743914,0.77815125,2.618699017,0.698970004,5.869565217,30.47826087,3.185440456,74.05019841,16.23861378,7.688296897,3.565217391,14.56521739,10.84512286,144.9527088,13.17720046,7.351670357,2.304347826,15.91304348,-7.659682404,-70.90251039,3.06141332,0.33662654
AS_1430,0.24216867,27.76732512,985.1091239,-0.334124809,-0.070466054,-0.270094031,2.045085653,31.18351357,35.46683111,108.0975546,0.0301028,0.0291912,0.342419469,0.007412998,317.72363,0.340225103,2.037815016,2.503414263,0.814014303,2.502049516,4.739130435,26.34782609,2.268012551,130.943373,12.23793196,2.281501651,4.695652174,21.60869565,5.648784802,96.47324017,14.7847025,2.961676728,0.043478261,4.73913044,-3.380772251,34.47013283,-2.54677054,-0.680175077
EU_1544,2.200310392,3.511030756,1009.791174,0.057115194,0.236637837,0.023327806,3.58994957,67.08177492,33.44308068,108.1615516,5.2318101,4.2576199,4.236621599,0.303042179,10.2890625,10.51228444,2.0380697,1.052657877,1.936117844,1.012375805,5.260869565,28.56521739,3.000841504,92.43809524,14.38897957,8.332585904,4.347826087,19.26086957,6.593388205,100.7409524,14.91096237,8.279434771,0.913043478,9.30434782,-3.592546701,-8.30285716,-0.5219828,0.053151133
AS_1545,0.053087132,3.662503769,727.6577223,-0.003982469,-0.280644513,-0.08097498,3.48679169,38.87176683,93.89633256,108.6779288,0.247189,0.118603,11.71033164,0.00704788,34.625977,3.138624184,2.04011924,1.551766783,1.314707379,1.539402036,5.739130435,27.73913043,3.571691711,96.35398708,15.91059034,7.304621441,4.434782609,18.52173913,5.102890799,93.26767797,13.34788316,9.818724822,1.304347826,9.2173913,-1.531199088,3.08630911,2.56270718,-2.514103381
SA_1653,3.12423371,11.39608746,1014.476039,-0.056959844,0.165368514,0.219462827,3.30754211,-38.69277802,-67.99983063,109.7613022,2.9189301,1.01458,3.734840271,0.159685646,9,12.19570024,2.044388053,1,2.044388053,0.954242509,6.173913043,25.95652174,2.631133954,61.74663026,14.93735363,4.242314339,2.652173913,10.26086957,5.513970442,150.9924242,8.172081959,2.263564747,3.52173913,15.69565217,-2.882836488,-89.24579394,6.765271671,1.978749592
NA_1541,1.040405714,-7.429875605,1015.579657,-0.143924312,0.095990329,-0.194759663,3.580982696,58.816375,-99.139375,110.3042746,1.7945499,2.4153099,2.980784812,0.146737425,9,12.25603051,2.046511844,1,2.046511844,0.954242509,5.826086957,33.82608696,3.627989648,64.84610076,16.55682535,7.29800255,3.52173913,14.52173913,9.362005615,114.1650595,12.84052536,6.934723722,2.304347827,19.30434783,-5.734015967,-49.31895874,3.71629999,0.363278828
AF_1040,1.030347113,31.87325094,1012.971819,-0.313232756,-0.786354464,-0.469444435,2.541375261,-21.94651469,43.69010496,111.3368536,0.217984,0.27646,21.63765841,0.479793108,65.84668,1.69084992,2.050522256,1.825079843,1.123524685,1.818533883,5.304347826,29.34782609,1.909282811,224.9989916,14.24031418,2.712654074,3.695652174,20.82608696,3.122390259,127.9536111,10.65601908,1.886608225,1.608695652,8.52173913,-1.213107448,97.0453805,3.5842951,0.826045849
EU_1583,1.820947494,10.80109342,1014.809546,-0.215901401,-0.005641901,-0.428297297,4.037825747,53.75505454,21.72073507,111.5763653,3.24402,0.885319,20.11168727,0.515636977,6.0908203,18.31877478,2.051447223,0.850696479,2.411491375,0.784675787,4.913043478,31.47826087,3.355358609,89.05857488,14.4458728,4.860631471,4.304347826,19.91304348,7.272459774,105.6915114,14.84948144,4.92738538,0.608695652,11.56521739,-3.917101165,-16.63293652,-0.40360864,-0.066753909
AS_1417,2.955014082,27.9596369,1009.240513,0.078036946,-0.015244014,0.079981279,1.641836656,17.32356976,98.88176197,111.8881613,1.82301,0.852246,2.608988528,0.60848251,4.638672,24.12073139,2.052648399,0.751176833,2.732576819,0.666393665,5.826086957,31.30434783,1.750164463,108.3183974,13.67913899,2.550120107,4.217391304,19.2173913,3.159438143,120.9441043,11.56939217,2.132006391,1.608695653,12.08695653,-1.40927368,-12.6257069,2.10974682,0.418113716
AS_776,0.275820259,33.96882178,1010.517605,-0.391287186,-0.679106274,-0.070330132,4.985556612,30.62666655,48.16191939,111.9629552,0.16918,0.158407,1.426087947,0.06989521,1.9814453,56.50570076,2.052936045,0.474426846,4.327191986,0.296982088,4.695652174,27.86956522,3.171343089,147.9460043,13.87212296,2.916446964,4.782608696,23.52173913,4.454457079,98.75487013,14.47652767,2.73635908,-0.086956522,4.34782609,-1.28311399,49.19113417,-0.60440471,0.180087884
AS_1406,1.256643316,-5.286903726,850.9016784,-0.077868161,-0.107023641,-0.103389921,1.967723845,55.19760526,113.0232811,112.0081806,4.8496099,2.1633,15.01349237,0.185308849,15.807617,7.085709415,2.053109883,1.225506143,1.675315864,1.198866405,5.956521739,32.47826087,2.536502469,66.83202993,14.65918794,5.509736017,4.217391304,16.82608696,7.764471529,115.9336439,14.20269894,6.17908364,1.739130435,15.65217391,-5.22796906,-49.10161397,0.456489,-0.669347623
NA_1598,2.876030425,5.928391321,1016.192929,-0.058989383,0.399460214,-0.008439664,1.502570053,50.015875,-124.4395,112.2098658,10.0354004,3.22967,20.82212895,0.705700389,30.75586,3.648406053,2.053884276,1.501823879,1.367593301,1.487927875,5.608695652,30.86956522,3.589938643,86.76463573,16.03383374,7.163307332,3.782608696,15.52173913,4.225213676,113.1343537,11.15266713,4.197485204,1.826086956,15.34782609,-0.635275033,-26.36971797,4.88116661,2.965822128
NA_1592,3.052408201,6.184486193,1015.425741,-0.118228158,0.090171566,0.007356608,2.831113955,43.85583922,-70.5494427,112.3883791,4.1607499,4.24753,1.846768419,0.61759981,29.999023,3.746401311,2.054568547,1.491348006,1.377658694,1.477107111,6.260869565,30.43478261,2.922579044,66.63851245,16.47449483,7.425569047,3.652173913,13,6.66590883,122.2637566,11.88316773,4.252482843,2.608695652,17.43478261,-3.743329786,-55.62524415,4.5913271,3.173086204
NA_1463,2.827689168,12.04507804,1015.592441,0.124745649,1.540848809,0.843622324,3.230126951,36.55306527,-95.59319336,113.3351617,0.394857,0.298074,13.1,0.404592862,5,22.66703234,2.05817981,0.77815125,2.64496113,0.698970004,6.173913043,31.73913043,3.428622027,73.05058191,17.16732794,5.01665493,3.260869565,14.47826087,7.437509062,146.6705215,11.1177552,3.167929309,2.913043478,17.26086956,-4.008887035,-73.61993959,6.04957274,1.848725621
NA_1574,2.160909618,-1.897762905,1015.589781,0.003302943,0.409992507,0.074929564,3.157235832,54.08543308,-106.1722536,113.8430537,2.82704,1.34067,37.9257568,0.307377822,134.5127,0.846336842,2.060104732,2.131979998,0.966287082,2.12876329,6.130434783,31.60869565,3.17575135,65.77915333,16.60725811,8.805553333,3.565217391,14.26086957,8.347670949,106.3985507,12.23698576,7.747308548,2.565217392,17.34782608,-5.171919599,-40.61939737,4.37027235,1.058244785
NA_1514,0.829838162,-7.688373074,1015.738228,-0.090905615,0.107894226,-0.046876407,2.344124793,65.39774585,-126.1642064,115.0011946,4.5250001,1.95338,7.494019287,0.172290391,5,23.00023892,2.064462462,0.77815125,2.653034947,0.698970004,5.434782609,31.56521739,3.267593681,81.07998327,15.15098624,6.767139931,4.043478261,19.08695652,9.661304285,110.0854555,14.62434824,7.87315013,1.391304348,12.47826087,-6.393710604,-29.00547223,0.526638,-1.106010199
AS_1423,3.970419664,18.43877141,1015.803012,0.133886333,0.073401793,0.116015445,1.334322923,25.724375,113.4435,115.5643015,1.92233,0.632912,3.688567608,0.637057082,3.100586,37.27176137,2.066565566,0.612845925,3.372080131,0.491443782,5.869565217,27.69565217,3.001104442,64.49704969,15.27240249,3.355984063,4.52173913,19.2173913,5.505340936,96.27234848,14.11171123,3.405546581,1.347826087,8.47826087,-2.504236494,-31.77529879,1.16069126,-0.049562518
AS_1256,1.787215939,19.05750239,1015.910302,-0.20411597,0.052759313,-0.069178544,3.369877476,40.145875,28.6545,115.7110815,2.58301,0.773602,0.736665941,0.556063407,21.86914,5.291066841,2.067112093,1.359249833,1.520774212,1.339831705,6.260869565,31.43478261,2.939555421,62.31777088,16.74093209,3.687039252,4.782608696,20.65217391,7.102396111,83.24528986,16.17660477,4.110982508,1.478260869,10.7826087,-4.16284069,-20.92751898,0.56432732,-0.423943256
NA_852,1.986833079,12.76282905,1010.970998,0.081046818,-0.114141336,0.077592767,1.183826977,19.95402102,-101.1597396,115.7862103,1.32692,1.1618201,0.521102215,0.294774338,27,4.288378159,2.067391566,1.447158031,1.428587287,1.431363764,4.217391304,26.26086957,2.844824895,113.3534144,13.46318696,5.049611784,2.47826087,10.34782609,2.187023963,187.8920635,5.800490017,1.327005952,1.739130434,15.91304348,0.657800932,-74.5386491,7.662696943,3.722605832
AS_1378,2.677198393,16.99978034,1006.942789,-0.197086888,-0.228323638,-0.038713674,2.525471284,30.43439407,112.3982179,115.8394067,0.393707,0.180598,28.05587504,0.432327804,6,19.30656778,2.067589343,0.84509804,2.446567434,0.77815125,6.304347826,30.26086957,3.714487581,61.67111801,17.90030841,4.508789965,5.173913043,23.73913043,5.253618363,93.39013112,16.25806221,4.216064057,1.130434783,6.52173914,-1.539130782,-31.71901311,1.6422462,0.292725908
SA_1562,3.949389739,17.90751397,1015.166736,-0.326059466,-0.537441426,-0.462952596,3.065203805,-29.50374556,-49.9301414,115.9823003,0.509386,0.313855,2.766282202,0.522809011,12.630859,9.182455469,2.068120157,1.134523225,1.822898034,1.101432887,5.956521739,27.65217391,3.529285324,71.35746204,16.59742413,3.988255061,3.826086957,18.04347826,3.644633699,147.1617914,10.93298933,2.556806556,2.130434782,9.60869565,-0.115348375,-75.80432936,5.6644348,1.431448505
AS_1013,3.460587132,17.80989358,1012.176306,-0.120803818,-0.112930833,-0.003440234,1.997985913,28.88817012,112.2404035,116.5540324,0.0016568,0.0396539,28.05587504,0.448100074,6,19.42567207,2.070237531,0.84509804,2.449701021,0.77815125,6.173913043,31.2173913,3.721617855,67.92042263,17.80592221,4.535345541,5.52173913,24.82608696,5.498422713,78.82957212,17.45423484,4.464656141,0.652173913,6.39130434,-1.776804858,-10.90914949,0.35168737,0.0706894
AS_1324,3.312547994,16.4126188,1015.976623,-0.117562373,-0.320460418,-0.078005502,2.756436818,31.43401187,120.7725786,116.8525859,0.763709,0.267751,2.277304407,0.343035456,1.265625,92.32796911,2.071339116,0.355188028,5.831669289,0.102305045,5.826086957,29.95652174,3.423062693,82.56684004,16.78528502,4.564016595,5,21.43478261,5.145690068,86.15848861,15.30825275,3.92963339,0.826086957,8.52173913,-1.722627375,-3.59164857,1.47703227,0.634383205
EU_1538,2.233241793,17.2758832,1016.423045,-0.520879415,-0.329419963,-0.450975881,2.695018889,43.14066806,12.10603775,117.7287694,0.666374,0.208335,15.57616697,0.530502472,3.6357422,32.38094533,2.074555966,0.666119276,3.114391131,0.560593081,5.130434783,32.08695652,2.693951019,84.67587992,13.92250263,3.389971252,5,25.43478261,4.944926521,79.16031746,15.77884086,4.082281279,0.130434783,6.65217391,-2.250975502,5.51556246,-1.85633823,-0.692310027
NA_1302,4.202011665,6.364007258,1014.785984,-0.381791588,0.31149884,-0.165909739,3.265733399,44.19809838,-65.12006765,118.2340068,5.4223399,3.76898,1.811207802,0.631496055,4.8710938,24.27257853,2.076400138,0.768719019,2.701117167,0.687626493,5.434782609,27.91304348,2.641048144,72.78281025,14.19875535,6.656161554,3.130434783,11.73913043,6.776341699,157.7311594,9.715321331,3.189401864,2.304347826,16.17391305,-4.135293555,-84.94834915,4.483434019,3.46675969
OC_1109,1.646137365,13.56285727,1016.50028,0.020508331,-0.155413624,-0.023327271,2.049396866,-36.065,147.322875,119.3294561,0.155833,0.351365,0.59197318,0.644491255,33.996094,3.510093133,2.080371954,1.544019574,1.34737408,1.531429021,3.608695652,24.17391304,2.332957044,120.5429505,10.51848744,3.198921514,3.52173913,13.86956522,6.060892971,153.0190476,11.08177917,2.863009419,0.086956522,10.30434782,-3.727935927,-32.4760971,-0.56329173,0.335912095
NA_1444,1.942158874,-1.223668333,1015.452345,0.092230967,0.285412619,0.216320497,3.224519312,49.53645951,-86.81570119,120.2077855,8.1719103,3.8099999,2.59185461,0.506427994,17,7.071046206,2.083530517,1.255272505,1.659823272,1.230448921,5.869565217,31.39130435,4.187164517,80.25690131,17.61376977,9.472360509,3.391304348,13.86956522,9.142583676,166.6453515,12.08745198,7.324993551,2.478260869,17.52173913,-4.955419159,-86.38845019,5.52631779,2.147366958
AS_1494,1.790096536,10.11825874,850.8570408,-0.2475806,-0.024269763,-0.204472709,2.61985668,41.04493073,43.24279741,120.263618,0.0570428,0.311279,6.268950435,0.338705631,18.78125,6.403387314,2.083730522,1.296253732,1.607502043,1.273724494,5.086956522,32.34782609,3.111603771,89.05593513,14.53471115,6.04545149,4.130434783,24.7826087,5.812742114,123.0402778,14.49305303,5.368152607,0.956521739,7.56521739,-2.701138343,-33.98434267,0.04165812,0.677298883
AS_1447,0.837827271,6.152922359,1020.259975,0.063790865,-0.347943799,0.088443213,4.295974432,53.31597074,77.99093969,120.8098262,0.131803,0.0509535,17.81943605,0.204868483,3.0195312,40.00946445,2.085682324,0.604175404,3.452113922,0.479939521,5.695652174,32.7826087,3.309653532,65.44629984,16.15532366,5.983385107,4.130434783,18.73913043,9.929174133,95.95921325,15.42861836,7.706451153,1.565217391,14.04347827,-6.619520601,-30.51291341,0.7267053,-1.723066046
NA_1491,2.748730425,18.49130445,1017.586805,-0.656435164,0.234355317,-0.890257063,2.350494812,28.62397071,-81.62594709,120.9526152,0.418846,2.0942299,39.97529406,0.599065589,4.9296875,24.53555427,2.086191118,0.773031806,2.698713172,0.69281939,5.913043478,29.52173913,2.567738983,74.9026821,14.6158067,3.315782528,3.869565217,15.91304348,4.030629932,126.5947279,10.71485881,2.425987206,2.043478261,13.60869565,-1.462890949,-51.6920458,3.90094789,0.889795322
AS_1160,1.006835258,3.813085803,1010.825473,-0.140017462,-0.021144825,-0.249957401,3.358361554,59.6888167,65.65612371,121.2976629,0.573636,0.780623,19.5,0.391374707,1.390625,87.22528568,2.087418158,0.378511457,5.51480839,0.143210033,5.739130435,32.13043478,3.948871657,74.12255003,16.95066346,7.869975985,4.695652174,20.91304348,9.751567742,84.15652174,17.40873413,8.595698446,1.043478261,11.2173913,-5.802696085,-10.03397171,-0.45807067,-0.725722461
NA_1415,1.53927236,-4.090170955,1015.331431,-0.133188698,0.031821259,-0.064729876,3.160879899,55.605,-97.561,122.1882763,4.7725501,2.6828599,8.255232474,0.421494107,4,30.54706908,2.090569378,0.698970004,2.990928603,0.602059991,5.304347826,25.30434783,4.544402423,71.30822981,15.59434344,7.07786668,2.739130435,11.17391304,11.02291184,152.065942,10.08689006,4.600017556,2.565217391,14.13043479,-6.478509417,-80.75771219,5.50745338,2.477849124
NA_1426,1.370339091,-6.110934783,1015.534561,-0.10105623,0.175335216,0.046085241,3.112409348,58.62883841,-103.6836538,122.735396,4.1484599,2.2946601,28.48924446,0.21126573,20,6.1367698,2.092493953,1.322219295,1.582561955,1.301029996,6.217391304,35.86956522,2.95782618,60.07243988,16.59770266,7.31771791,3.608695652,15.91304348,9.96643779,97.6905303,13.18215712,7.404238187,2.608695652,19.95652174,-7.00861161,-37.61809042,3.41554554,-0.086520277
AS_1089,1.300551458,4.588834521,996.0120651,-0.120493837,0.284546615,-0.087759015,2.578618324,45.9475751,124.4301661,123.7415213,0.37434,0.412623,1.7,0.177372309,31,3.991661977,2.096011036,1.505149978,1.39255959,1.491361694,5.086956522,31.65217391,4.462449958,102.6450687,16.38897072,6.900300635,4.434782609,17.60869565,6.57658049,87.97701863,14.25770449,5.420893853,0.652173913,14.04347826,-2.114130532,14.66805007,2.13126623,1.479406782
NA_1400,2.368906487,1.835721241,1015.580258,-0.178734483,-0.089165717,-0.223139456,3.080746799,46.73730616,-80.73517229,125.4186944,8.4087896,3.9571199,2.380531141,0.498025618,7.881836,15.91237047,2.101811301,0.94850275,2.215925364,0.896627394,5.608695652,30.56521739,3.249105467,82.78255694,15.6109776,8.110527884,3.434782609,14.73913043,8.063489489,146.7865079,12.09998815,6.551793162,2.173913043,15.82608696,-4.814384022,-64.00395096,3.51098945,1.558734722
NA_1322,1.21972339,-8.007085764,1015.511815,-0.486473761,-0.183565602,-0.506583809,3.924240323,58.80814647,-97.83708955,127.3459417,2.8303599,1.76236,2.213835073,0.190020839,9,14.14954908,2.108382141,1,2.108382141,0.954242509,5.565217391,30.7826087,3.758854454,97.43282044,15.96074081,6.60087188,3.695652174,14.39130435,10.01120554,104.9821789,13.3936419,7.52218875,1.869565217,16.39130435,-6.252351086,-7.54935846,2.56709891,-0.92131687
NA_1262,0.887960076,-11.7178422,1013.734936,-0.888615956,-0.026456333,-0.590017472,5.170962437,63.12872987,-92.82335824,129.0384448,3.4877999,2.96538,1.420986556,0.090594713,2.7792969,46.42844915,2.114071767,0.577411011,3.661294512,0.443934943,6.086956522,35.26086957,2.461155926,70.67406832,14.64305879,5.84485498,3.739130435,16.04347826,8.959885607,129.3174603,13.59251003,7.302957224,2.347826087,19.21739131,-6.498729681,-58.64339198,1.05054876,-1.458102244
AS_1279,0.131796822,5.848698657,1015.09899,0.17393284,-0.270681326,0.121044816,2.67412765,38.12208141,90.78883302,129.6431847,0.0748649,0.050864,3.159078316,0.055413254,42.910156,3.021270412,2.116086759,1.64256498,1.288281915,1.632560093,5.565217391,26,3.019977835,88.74363354,14.44929802,5.931537736,4.608695652,20.17391304,4.964772493,95.01068852,14.34200785,6.557414584,0.956521739,5.82608696,-1.944794658,-6.26705498,0.10729017,-0.625876848
NA_1323,1.843405071,-0.218429246,1015.635758,-0.153383695,0.046980364,-0.219678372,3.191249999,49.97740502,-91.92783608,130.8416109,6.0915499,3.96192,5.475116012,0.456895437,7.0820312,18.47515313,2.120052501,0.907520523,2.336093177,0.850157836,6.260869565,33.91304348,3.24980758,72.78252943,17.28994175,8.132443841,4.086956522,16.43478261,9.199321539,109.4998965,14.42989133,8.197231424,2.173913043,17.47826087,-5.949513959,-36.71736707,2.86005042,-0.064787583
